STATION,NAME,DATE,AWND,PRCP,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/1/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/2/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/3/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/4/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/5/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/6/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/7/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/8/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/9/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/10/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/11/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/12/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/13/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/14/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/15/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/16/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/17/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/18/2020,,1.16,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/19/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/20/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/21/2020,,1.06,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/22/2020,,0.17,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/23/2020,,0.11,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/24/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/25/2020,,0.13,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/26/2020,,2.6,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/27/2020,,0.03,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/28/2020,,0.13,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/29/2020,,0.43,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/30/2020,,0.7,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",7/31/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",8/1/2020,,0.7,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",8/2/2020,,0.16,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",8/3/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",8/4/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",8/5/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",8/6/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",8/7/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",8/8/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",8/9/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",8/10/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",8/11/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",8/12/2020,,0,,,,,,,,,,,,,
US1TXHRR232,"HOUSTON 2.1 SSW, TX US",8/13/2020,,0.08,,,,,,,,,,,,,
